Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Duracao,Status_Evento
SYD5G33,Agua Clara,31/07/2025 20:13,31/07/2025 20:25,12m,Saiu da cerca
SYD5G65,Carregamento Fabrica RRP,31/07/2025 20:13,31/07/2025 21:14,1h 0m,Saiu da cerca
FOW8J57,Terminal Inocencia,31/07/2025 20:09,31/07/2025 22:32,2h 23m,Saiu da cerca
FOW8J57,Patio Carregado INO,31/07/2025 20:09,31/07/2025 21:54,1h 45m,Saiu da cerca
FOW8J57,Descarga Inocencia,31/07/2025 20:09,31/07/2025 22:34,2h 25m,Saiu da cerca
SYD5G37,Oficina JSL,31/07/2025 20:15,31/07/2025 22:57,2h 41m,Saiu da cerca
SYD5G24,Abastecimento Frotas RRP,31/07/2025 20:15,31/07/2025 20:27,11m,Saiu da cerca
SYD5G24,Pro LOG,31/07/2025 20:15,31/07/2025 20:27,11m,Saiu da cerca
SMG9E17,Agua Clara,31/07/2025 20:09,31/07/2025 20:27,17m,Saiu da cerca
SYD5G65,Enlonamento RRP,31/07/2025 20:18,31/07/2025 20:18,0m,Saiu da cerca
SYD5F93,Desc. INO,31/07/2025 19:58,31/07/2025 20:15,17m,Saiu da cerca
SYD5F93,Descarga INO,31/07/2025 20:15,31/07/2025 20:16,1m,Saiu da cerca
SYD5F93,Patio Vazio INO,31/07/2025 20:15,31/07/2025 20:16,1m,Saiu da cerca
SYD5F93,Patio Carregado INO,31/07/2025 20:16,31/07/2025 20:24,7m,Saiu da cerca
SYD5G35,Abastecimento Frotas RRP,31/07/2025 20:19,31/07/2025 20:29,10m,Saiu da cerca
SYD5G35,Pro LOG,31/07/2025 20:19,31/07/2025 20:29,10m,Saiu da cerca
SYE7D11,Descarga INO,31/07/2025 20:10,31/07/2025 20:48,38m,Saiu da cerca
SYE7D11,Patio Vazio INO,31/07/2025 20:10,31/07/2025 20:31,21m,Saiu da cerca
SMG9B17,Carregamento RRp,31/07/2025 20:20,31/07/2025 20:37,17m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:22,31/07/2025 20:24,2m,Saiu da cerca
SYD5G51,Enlonamento RRP,31/07/2025 20:23,31/07/2025 20:26,2m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:26,31/07/2025 20:36,10m,Saiu da cerca
SYD5G13,Oficina JSL,31/07/2025 20:21,01/08/2025 06:02,9h 40m,Saiu da cerca
SYE4C10,Desc. INO,31/07/2025 20:07,31/07/2025 20:21,14m,Saiu da cerca
SYD5G57,Abastecimento Frotas RRP,31/07/2025 20:27,31/07/2025 20:37,9m,Saiu da cerca
SYD5G57,Pro LOG,31/07/2025 20:28,31/07/2025 20:37,8m,Saiu da cerca
SYD5G24,Carregamento Fabrica RRP,31/07/2025 20:28,31/07/2025 21:36,1h 7m,Saiu da cerca
SYD5G24,Enlonamento RRP,31/07/2025 20:28,31/07/2025 20:36,7m,Saiu da cerca
SYD5G26,Agua Clara,31/07/2025 20:29,01/08/2025 01:20,4h 51m,Saiu da cerca
SYD5G35,Carregamento Fabrica RRP,31/07/2025 20:29,31/07/2025 21:44,1h 14m,Saiu da cerca
SYE4C10,Terminal Inocencia,31/07/2025 20:24,31/07/2025 20:41,16m,Saiu da cerca
SYD5G35,Enlonamento RRP,31/07/2025 20:30,31/07/2025 20:42,12m,Saiu da cerca
SMG9D17,Buffer frotas ,31/07/2025 20:31,01/08/2025 03:22,6h 50m,Saiu da cerca
SYD5G25,Desc. INO,31/07/2025 20:21,31/07/2025 20:29,8m,Saiu da cerca
SYD5G16,Agua Clara,31/07/2025 20:28,31/07/2025 20:43,15m,Saiu da cerca
SYD5G01,PA AGUA CLARA,31/07/2025 20:33,31/07/2025 20:55,22m,Saiu da cerca
SYD5G53,Descarga INO,31/07/2025 20:33,31/07/2025 21:15,42m,Saiu da cerca
SYD5G53,Patio Vazio INO,31/07/2025 20:33,31/07/2025 20:45,11m,Saiu da cerca
SYE4C10,Patio Carregado INO,31/07/2025 20:33,31/07/2025 20:41,7m,Saiu da cerca
SYD5G25,Descarga INO,31/07/2025 20:31,31/07/2025 20:35,3m,Saiu da cerca
SYD5G25,Terminal Inocencia,31/07/2025 20:31,31/07/2025 20:47,15m,Saiu da cerca
SYD5G25,Desc. INO,31/07/2025 20:31,31/07/2025 20:35,3m,Saiu da cerca
SYD5G25,Patio Vazio INO,31/07/2025 20:35,31/07/2025 20:45,10m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 20:36,31/07/2025 20:45,8m,Saiu da cerca
SYD5G26,PA AGUA CLARA,31/07/2025 20:37,01/08/2025 01:20,4h 43m,Saiu da cerca
SYD5G61,Desc. INO,31/07/2025 20:24,31/07/2025 20:34,9m,Saiu da cerca
SMG6H57,Agua Clara,31/07/2025 20:38,31/07/2025 20:55,17m,Saiu da cerca
SYD5G61,Patio Vazio INO,31/07/2025 20:34,31/07/2025 20:46,11m,Saiu da cerca
SYD5G65,Carregamento RRp,31/07/2025 20:38,31/07/2025 20:52,13m,Saiu da cerca
SMG9B17,Enlonamento RRP,31/07/2025 20:38,31/07/2025 20:58,20m,Saiu da cerca
SYD5G21,Desc. INO,31/07/2025 20:28,31/07/2025 20:41,13m,Saiu da cerca
SYD5G57,Carregamento Fabrica RRP,31/07/2025 20:40,31/07/2025 21:53,1h 13m,Saiu da cerca
SYD5G21,Patio Vazio INO,31/07/2025 20:41,31/07/2025 20:46,4m,Saiu da cerca
SYD5G15,Descarga Inocencia,31/07/2025 20:43,01/08/2025 06:04,9h 20m,Saiu da cerca
SMG5F48,Descarga INO,31/07/2025 20:42,31/07/2025 21:10,27m,Saiu da cerca
SMG5F48,Patio Vazio INO,31/07/2025 20:42,31/07/2025 20:46,3m,Saiu da cerca
QUA0J34,Descarga INO,31/07/2025 20:42,31/07/2025 21:12,29m,Saiu da cerca
QUA0J34,Terminal Inocencia,31/07/2025 20:42,31/07/2025 21:39,56m,Saiu da cerca
QUA0J34,Patio Vazio INO,31/07/2025 20:42,31/07/2025 21:01,19m,Saiu da cerca
SYD5G57,Enlonamento RRP,31/07/2025 20:45,31/07/2025 20:47,2m,Saiu da cerca
SYD5G51,Carregamento Fabrica RRP,31/07/2025 20:46,31/07/2025 20:49,2m,Saiu da cerca
SYD5G57,Carregamento RRp,31/07/2025 20:47,31/07/2025 20:49,2m,Saiu da cerca
SYD5G51,Buffer frotas ,31/07/2025 20:49,31/07/2025 21:14,25m,Saiu da cerca
SYD5F90,Agua Clara,31/07/2025 20:48,31/07/2025 20:57,9m,Saiu da cerca
SYE7D11,Desc. INO,31/07/2025 20:31,31/07/2025 20:48,16m,Saiu da cerca
SYE7D11,Patio Vazio INO,31/07/2025 20:48,31/07/2025 20:50,1m,Saiu da cerca
SYE7D11,Patio Carregado INO,31/07/2025 20:50,31/07/2025 22:28,1h 37m,Saiu da cerca
SYE7D14,Agua Clara,31/07/2025 20:51,31/07/2025 20:59,8m,Saiu da cerca
SYD5G64,Agua Clara,31/07/2025 20:52,31/07/2025 22:31,1h 39m,Saiu da cerca
SYD5G65,Enlonamento RRP,31/07/2025 20:52,31/07/2025 21:14,22m,Saiu da cerca
SYD5F99,Descarga INO,31/07/2025 20:42,31/07/2025 20:53,11m,Saiu da cerca
SYD5F99,Patio Vazio INO,31/07/2025 20:42,31/07/2025 20:53,11m,Saiu da cerca
SYD5G20,Agua Clara,31/07/2025 20:53,31/07/2025 22:33,1h 40m,Saiu da cerca
SYD5F91,Descarga INO,31/07/2025 20:52,31/07/2025 21:40,48m,Saiu da cerca
SYD5F91,Patio Vazio INO,31/07/2025 20:52,31/07/2025 21:23,31m,Saiu da cerca
SYD5G64,PA AGUA CLARA,31/07/2025 20:54,31/07/2025 22:23,1h 29m,Saiu da cerca
SYD5G56,Patio Vazio INO,31/07/2025 20:48,31/07/2025 21:10,21m,Saiu da cerca
SYD5G56,Descarga INO,31/07/2025 20:50,31/07/2025 21:30,39m,Saiu da cerca
SYD5G15,Terminal Inocencia,31/07/2025 20:50,31/07/2025 23:51,3h 1m,Saiu da cerca
SYD5G15,Patio Carregado INO,31/07/2025 20:50,31/07/2025 23:27,2h 37m,Saiu da cerca
SYE7D12,Posto Mutum,31/07/2025 20:57,31/07/2025 20:59,2m,Saiu da cerca
SYD5G57,Carregamento RRp,31/07/2025 20:58,31/07/2025 21:03,5m,Saiu da cerca
SYD5G25,Patio Carregado INO,31/07/2025 20:45,31/07/2025 20:47,1m,Saiu da cerca
SYD5G24,Carregamento RRp,31/07/2025 21:00,31/07/2025 21:13,13m,Saiu da cerca
SYD5G17,Agua Clara,31/07/2025 21:00,31/07/2025 22:41,1h 41m,Saiu da cerca
SYD5G32,Abastecimento Frotas RRP,31/07/2025 21:00,31/07/2025 21:11,10m,Saiu da cerca
SYL4A20,Abastecimento Frotas RRP,31/07/2025 21:00,31/07/2025 21:01,0m,Saiu da cerca
