Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
TLS;SYR4E37;SELVIRIA;Parada Operacional;07/08/2025 09:18;07/08/2025 09:25;Saiu da cerca;0.11
TLS;SYR4E37;TRAJETO PA X APARECIDA 3;Não Mapeado;07/08/2025 09:54;07/08/2025 10:18;Saiu da cerca;0.41
TLS;SYR4E37;Terminal;Terminal;07/08/2025 10:23;07/08/2025 12:07;Saiu da cerca;1.73
TLS;TJM9E93;AREA EXTERNA SUZANO;Parada Operacional;07/08/2025 08:03;07/08/2025 08:04;Saiu da cerca;0.02
TLS;TJM9E93;TRAJETO FABRICA X PA;Não Mapeado;07/08/2025 08:07;07/08/2025 09:05;Saiu da cerca;0.96
TLS;TJM9E93;TRAJETO PA X APARECIDA 1;Não Mapeado;07/08/2025 09:05;07/08/2025 09:40;Saiu da cerca;0.58
TLS;TJM9E93;MONTANINI;Parada Operacional;07/08/2025 09:07;07/08/2025 09:08;Saiu da cerca;0.01
TLS;TJM9E93;TRAJETO PA X APARECIDA 2;Não Mapeado;07/08/2025 09:45;07/08/2025 10:49;Saiu da cerca;1.06
TLS;TJM9E93;SELVIRIA;Parada Operacional;07/08/2025 10:09;07/08/2025 10:14;Saiu da cerca;0.09
TLS;TJM9E93;TRAJETO PA X APARECIDA 3;Não Mapeado;07/08/2025 10:49;07/08/2025 11:12;Saiu da cerca;0.39
RRP;SYL5J46;Terminal Inocencia;Terminal;07/08/2025 10:09;;Entrou na cerca;0.0
