Customer_ID;Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao;Data_Atualizacao;Vehicle_Id;Fence_Id
41774;ID 41774;SMB7B61;Terminal;Terminal;07/08/2025 10:53;07/08/2025 13:29;Saiu da cerca;2.6;07/08/2025 14:32;606737;115514
44459;RRP;SMG2D73;Terminal;Terminal;07/08/2025 08:27;07/08/2025 12:42;Saiu da cerca;4.25;07/08/2025 13:45;612374;171260
44459;RRP;SMG5F48;Agua Clara;Parada Operacional;07/08/2025 09:24;07/08/2025 09:35;Saiu da cerca;0.18;07/08/2025 10:35;616897;171261
44459;RRP;SMG5F48;Terminal;Terminal;07/08/2025 11:56;07/08/2025 12:01;Saiu da cerca;0.08;07/08/2025 13:07;616897;171260
44459;RRP;SMG6H57;Carregamento Fabrica RRP;Fábrica;07/08/2025 09:12;07/08/2025 10:07;Saiu da cerca;0.92;07/08/2025 11:08;616812;170885
44459;RRP;SMG6H57;Agua Clara;Parada Operacional;07/08/2025 11:53;07/08/2025 12:02;Saiu da cerca;0.15;07/08/2025 13:03;616812;171261
44459;RRP;SMG6H57;Descarga Inocencia;Terminal;07/08/2025 14:20;;Entrou na cerca;0.0;07/08/2025 15:27;616812;171260
44459;RRP;SMG9B17;Agua Clara;Parada Operacional;07/08/2025 09:40;07/08/2025 09:52;Saiu da cerca;0.21;07/08/2025 10:52;613279;171261
44459;RRP;SMG9C17;Agua Clara;Parada Operacional;07/08/2025 09:41;07/08/2025 09:50;Saiu da cerca;0.15;07/08/2025 10:50;613399;171261
44459;RRP;SMG9C17;Descarga Inocencia;Terminal;07/08/2025 12:12;;Entrou na cerca;0.0;07/08/2025 13:18;613399;171260
44459;RRP;SMG9D17;Descarga Inocencia;Terminal;07/08/2025 09:47;07/08/2025 14:11;Saiu da cerca;4.41;07/08/2025 15:17;613394;171260
44459;RRP;SMG9E17;Descarga Inocencia;Terminal;07/08/2025 08:23;07/08/2025 12:11;Saiu da cerca;3.81;07/08/2025 13:11;613210;171260
44459;RRP;SMG9E17;Agua Clara;Parada Operacional;07/08/2025 14:11;07/08/2025 14:20;Saiu da cerca;0.14;07/08/2025 15:20;613210;171261
44459;RRP;SMG9I17;Descarga Inocencia;Terminal;07/08/2025 08:45;07/08/2025 12:44;Saiu da cerca;3.99;07/08/2025 13:45;617788;171260
44459;RRP;SMH0F11;Agua Clara;Parada Operacional;07/08/2025 10:38;07/08/2025 10:48;Saiu da cerca;0.17;07/08/2025 11:48;618629;171261
44459;RRP;SMH0F11;Posto Mutum;Parada Operacional;07/08/2025 11:28;07/08/2025 11:31;Saiu da cerca;0.05;07/08/2025 12:37;618629;174412
44459;RRP;SMH0F11;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 12:14;07/08/2025 12:25;Saiu da cerca;0.2;07/08/2025 13:25;618629;170896
44459;RRP;SMH0F11;Carregamento Fabrica RRP;Fábrica;07/08/2025 12:27;07/08/2025 13:11;Saiu da cerca;0.73;07/08/2025 14:11;618629;170885
16622;TLS;SYD5F88;SELVIRIA;Parada Operacional;07/08/2025 10:09;07/08/2025 10:16;Saiu da cerca;0.1;07/08/2025 11:17;582309;51127
16622;TLS;SYD5F88;Terminal;Terminal;07/08/2025 11:18;07/08/2025 14:22;Saiu da cerca;3.07;07/08/2025 15:22;582309;115514
39450;RRP;SYD5F90;Carregamento Fabrica RRP;Fábrica;07/08/2025 10:03;07/08/2025 10:33;Saiu da cerca;0.5;07/08/2025 11:33;595283;170885
39450;RRP;SYD5F90;Agua Clara;Parada Operacional;07/08/2025 12:21;07/08/2025 12:30;Saiu da cerca;0.15;07/08/2025 13:30;595283;171261
39450;RRP;SYD5F91;Agua Clara;Parada Operacional;07/08/2025 06:02;07/08/2025 12:55;Saiu da cerca;6.88;07/08/2025 13:56;593043;171261
39450;RRP;SYD5F91;Terminal;Terminal;07/08/2025 12:05;07/08/2025 12:40;Saiu da cerca;0.57;07/08/2025 13:41;593043;171260
39450;RRP;SYD5F93;Agua Clara;Parada Operacional;07/08/2025 12:11;07/08/2025 12:49;Saiu da cerca;0.63;07/08/2025 13:49;586869;171261
39450;RRP;SYD5F93;PA AGUA CLARA;Ponto Apoio;07/08/2025 12:13;07/08/2025 12:41;Saiu da cerca;0.46;07/08/2025 13:41;586869;185766
16622;TLS;SYD5F94;SELVIRIA;Parada Operacional;07/08/2025 10:18;07/08/2025 10:20;Saiu da cerca;0.04;07/08/2025 11:20;586850;51127
16622;TLS;SYD5F94;Terminal;Terminal;07/08/2025 11:20;07/08/2025 14:16;Saiu da cerca;2.93;07/08/2025 15:31;586850;115514
39450;RRP;SYD5F96;Descarga Inocencia;Terminal;07/08/2025 10:57;;Entrou na cerca;0.0;07/08/2025 12:06;593652;171260
39450;RRP;SYD5F99;Terminal;Terminal;07/08/2025 09:47;07/08/2025 13:37;Saiu da cerca;3.84;07/08/2025 14:37;586848;171260
39450;RRP;SYD5G01;Descarga Inocencia;Terminal;07/08/2025 10:59;;Entrou na cerca;0.0;07/08/2025 12:06;593678;171260
39450;RRP;SYD5G04;Descarga Inocencia;Terminal;07/08/2025 09:56;;Entrou na cerca;0.0;07/08/2025 11:03;586846;171260
39450;RRP;SYD5G05;Agua Clara;Parada Operacional;07/08/2025 07:45;07/08/2025 10:05;Saiu da cerca;2.35;07/08/2025 11:06;584796;171261
39450;RRP;SYD5G05;PA AGUA CLARA;Ponto Apoio;07/08/2025 07:49;07/08/2025 09:57;Saiu da cerca;2.14;07/08/2025 10:58;584796;185766
39450;RRP;SYD5G05;Descarga Inocencia;Terminal;07/08/2025 13:26;;Entrou na cerca;0.0;07/08/2025 14:32;584796;171260
39450;RRP;SYD5G06;Oficina JSL;Manutenção;06/08/2025 15:32;07/08/2025 14:02;Saiu da cerca;22.51;07/08/2025 15:13;586845;181600
39450;RRP;SYD5G06;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 14:02;;Entrou na cerca;0.0;07/08/2025 15:13;586845;170896
39450;RRP;SYD5G10;Agua Clara;Parada Operacional;07/08/2025 10:24;07/08/2025 11:04;Saiu da cerca;0.66;07/08/2025 12:10;584960;171261
39450;RRP;SYD5G10;PA AGUA CLARA;Ponto Apoio;07/08/2025 10:24;07/08/2025 11:04;Saiu da cerca;0.66;07/08/2025 12:10;584960;185766
39450;RRP;SYD5G16;Descarga Inocencia;Terminal;07/08/2025 09:24;07/08/2025 09:44;Saiu da cerca;0.33;07/08/2025 10:44;595366;171260
39450;RRP;SYD5G16;Agua Clara;Parada Operacional;07/08/2025 11:42;07/08/2025 12:01;Saiu da cerca;0.32;07/08/2025 13:04;595366;171261
39450;RRP;SYD5G16;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 13:15;07/08/2025 13:28;Saiu da cerca;0.21;07/08/2025 14:28;595366;170896
39450;RRP;SYD5G16;Fábrica;Fábrica;07/08/2025 13:28;07/08/2025 14:18;Saiu da cerca;0.84;07/08/2025 15:18;595366;170885
39450;RRP;SYD5G18;Carregamento Fabrica RRP;Fábrica;07/08/2025 10:05;07/08/2025 10:35;Saiu da cerca;0.49;07/08/2025 11:48;584817;170885
39450;RRP;SYD5G18;Agua Clara;Parada Operacional;07/08/2025 11:35;07/08/2025 12:03;Saiu da cerca;0.46;07/08/2025 13:10;584817;171261
39450;RRP;SYD5G18;Descarga Inocencia;Terminal;07/08/2025 14:22;;Entrou na cerca;0.0;07/08/2025 15:24;584817;171260
39450;RRP;SYD5G19;Descarga Inocencia;Terminal;07/08/2025 09:56;;Entrou na cerca;0.0;07/08/2025 11:03;595390;171260
39450;RRP;SYD5G20;Agua Clara;Parada Operacional;07/08/2025 09:55;07/08/2025 12:11;Saiu da cerca;2.28;07/08/2025 13:11;595768;171261
39450;RRP;SYD5G20;PA AGUA CLARA;Ponto Apoio;07/08/2025 09:59;07/08/2025 12:05;Saiu da cerca;2.11;07/08/2025 13:05;595768;185766
39450;RRP;SYD5G20;Descarga Inocencia;Terminal;07/08/2025 14:13;;Entrou na cerca;0.0;07/08/2025 15:19;595768;171260
39450;RRP;SYD5G21;Fábrica;Fábrica;07/08/2025 12:07;07/08/2025 12:49;Saiu da cerca;0.69;07/08/2025 13:49;595259;170885
39450;RRP;SYD5G22;Terminal;Terminal;07/08/2025 09:44;07/08/2025 14:19;Saiu da cerca;4.58;07/08/2025 15:22;586870;171260
39450;RRP;SYD5G23;Agua Clara;Parada Operacional;07/08/2025 08:53;07/08/2025 13:45;Saiu da cerca;4.86;07/08/2025 14:45;595363;171261
39450;RRP;SYD5G23;PA AGUA CLARA;Ponto Apoio;07/08/2025 08:59;07/08/2025 13:35;Saiu da cerca;4.61;07/08/2025 14:35;595363;185766
39450;RRP;SYD5G24;Descarga Inocencia;Terminal;07/08/2025 10:08;;Entrou na cerca;0.0;07/08/2025 11:14;593003;171260
39450;RRP;SYD5G27;Descarga Inocencia;Terminal;07/08/2025 08:26;07/08/2025 12:41;Saiu da cerca;4.25;07/08/2025 13:47;595760;171260
39450;RRP;SYD5G30;Oficina JSL;Manutenção;07/08/2025 01:51;07/08/2025 10:49;Saiu da cerca;8.97;07/08/2025 11:49;612652;181600
39450;RRP;SYD5G30;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 10:55;07/08/2025 11:03;Saiu da cerca;0.14;07/08/2025 12:03;612652;170896
39450;RRP;SYD5G30;Oficina JSL;Manutenção;07/08/2025 11:25;07/08/2025 12:58;Saiu da cerca;1.55;07/08/2025 13:58;612652;181600
39450;RRP;SYD5G30;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 13:04;07/08/2025 13:07;Saiu da cerca;0.06;07/08/2025 14:07;612652;170896
39450;RRP;SYD5G31;Agua Clara;Parada Operacional;07/08/2025 10:07;07/08/2025 10:17;Saiu da cerca;0.17;07/08/2025 11:17;595348;171261
39450;RRP;SYD5G31;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 11:30;07/08/2025 11:38;Saiu da cerca;0.13;07/08/2025 12:38;595348;170896
39450;RRP;SYD5G31;Carregamento Fabrica RRP;Fábrica;07/08/2025 11:44;07/08/2025 12:41;Saiu da cerca;0.96;07/08/2025 13:42;595348;170885
39450;RRP;SYD5G32;Fábrica;Fábrica;07/08/2025 09:14;07/08/2025 10:01;Saiu da cerca;0.78;07/08/2025 11:01;595364;170885
39450;RRP;SYD5G32;Agua Clara;Parada Operacional;07/08/2025 11:46;07/08/2025 11:54;Saiu da cerca;0.13;07/08/2025 12:54;595364;171261
39450;RRP;SYD5G32;Descarga Inocencia;Terminal;07/08/2025 14:04;;Entrou na cerca;0.0;07/08/2025 15:10;595364;171260
39450;RRP;SYD5G33;Descarga Inocencia;Terminal;07/08/2025 06:53;07/08/2025 11:24;Saiu da cerca;4.52;07/08/2025 12:28;593023;171260
39450;RRP;SYD5G33;Agua Clara;Parada Operacional;07/08/2025 13:32;07/08/2025 13:55;Saiu da cerca;0.38;07/08/2025 14:55;593023;171261
39450;RRP;SYD5G33;PA AGUA CLARA;Ponto Apoio;07/08/2025 13:41;07/08/2025 13:55;Saiu da cerca;0.23;07/08/2025 14:55;593023;185766
39450;RRP;SYD5G33;Posto Mutum;Parada Operacional;07/08/2025 14:23;;Entrou na cerca;0.0;07/08/2025 15:29;593023;174412
39450;RRP;SYD5G34;Descarga Inocencia;Terminal;07/08/2025 10:58;;Entrou na cerca;0.0;07/08/2025 12:03;595405;171260
39450;RRP;SYD5G36;Agua Clara;Parada Operacional;07/08/2025 09:41;07/08/2025 10:00;Saiu da cerca;0.32;07/08/2025 11:00;595362;171261
39450;RRP;SYD5G36;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 11:11;07/08/2025 11:38;Saiu da cerca;0.45;07/08/2025 12:51;595362;170896
39450;RRP;SYD5G36;Carregamento Fabrica RRP;Fábrica;07/08/2025 11:38;07/08/2025 12:06;Saiu da cerca;0.47;07/08/2025 13:12;595362;170885
39450;RRP;SYD5G36;Agua Clara;Parada Operacional;07/08/2025 13:37;07/08/2025 13:43;Saiu da cerca;0.1;07/08/2025 14:43;595362;171261
39450;RRP;SYD5G37;Descarga Inocencia;Terminal;07/08/2025 11:17;;Entrou na cerca;0.0;07/08/2025 12:23;593622;171260
39450;RRP;SYD5G44;Oficina JSL;Manutenção;07/08/2025 08:58;07/08/2025 10:56;Saiu da cerca;1.97;07/08/2025 11:56;586866;181600
39450;RRP;SYD5G44;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 11:04;07/08/2025 11:16;Saiu da cerca;0.2;07/08/2025 12:16;586866;170896
39450;RRP;SYD5G44;Carregamento Fabrica RRP;Fábrica;07/08/2025 11:17;07/08/2025 11:55;Saiu da cerca;0.63;07/08/2025 13:01;586866;170885
39450;RRP;SYD5G44;Agua Clara;Parada Operacional;07/08/2025 13:34;07/08/2025 13:45;Saiu da cerca;0.18;07/08/2025 14:46;586866;171261
39450;RRP;SYD5G48;Descarga Inocencia;Terminal;07/08/2025 06:37;07/08/2025 10:39;Saiu da cerca;4.04;07/08/2025 11:40;584793;171260
39450;RRP;SYD5G48;Agua Clara;Parada Operacional;07/08/2025 13:33;;Entrou na cerca;0.0;07/08/2025 14:33;584793;171261
39450;RRP;SYD5G48;PA AGUA CLARA;Ponto Apoio;07/08/2025 13:43;;Entrou na cerca;0.0;07/08/2025 14:43;584793;185766
39450;RRP;SYD5G50;Agua Clara;Parada Operacional;07/08/2025 11:13;07/08/2025 13:50;Saiu da cerca;2.62;07/08/2025 14:50;595409;171261
39450;RRP;SYD5G50;PA AGUA CLARA;Ponto Apoio;07/08/2025 11:24;07/08/2025 13:50;Saiu da cerca;2.43;07/08/2025 14:50;595409;185766
39450;RRP;SYD5G51;Carregamento Fabrica RRP;Fábrica;07/08/2025 10:14;07/08/2025 10:50;Saiu da cerca;0.6;07/08/2025 11:56;593018;170885
39450;RRP;SYD5G51;Agua Clara;Parada Operacional;07/08/2025 14:17;;Entrou na cerca;0.0;07/08/2025 15:17;593018;171261
39450;RRP;SYD5G51;PA AGUA CLARA;Ponto Apoio;07/08/2025 14:21;;Entrou na cerca;0.0;07/08/2025 15:22;593018;185766
39450;RRP;SYD5G52;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 09:39;07/08/2025 10:05;Saiu da cerca;0.43;07/08/2025 11:11;586871;170896
39450;RRP;SYD5G52;Oficina JSL;Manutenção;07/08/2025 10:05;07/08/2025 11:03;Saiu da cerca;0.97;07/08/2025 12:08;586871;181600
39450;RRP;SYD5G52;Carregamento Fabrica RRP;Fábrica;07/08/2025 11:03;07/08/2025 12:02;Saiu da cerca;0.99;07/08/2025 13:08;586871;170885
39450;RRP;SYD5G52;Agua Clara;Parada Operacional;07/08/2025 13:27;07/08/2025 13:37;Saiu da cerca;0.17;07/08/2025 14:44;586871;171261
39450;RRP;SYD5G53;Oficina JSL;Manutenção;07/08/2025 00:24;07/08/2025 10:26;Saiu da cerca;10.04;07/08/2025 11:27;583522;181600
39450;RRP;SYD5G53;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 10:32;07/08/2025 10:46;Saiu da cerca;0.22;07/08/2025 11:52;583522;170896
39450;RRP;SYD5G53;Carregamento Fabrica RRP;Fábrica;07/08/2025 10:46;07/08/2025 11:24;Saiu da cerca;0.64;07/08/2025 12:24;583522;170885
39450;RRP;SYD5G53;Agua Clara;Parada Operacional;07/08/2025 14:19;;Entrou na cerca;0.0;07/08/2025 15:19;583522;171261
39450;RRP;SYD5G53;PA AGUA CLARA;Ponto Apoio;07/08/2025 14:25;;Entrou na cerca;0.0;07/08/2025 15:25;583522;185766
39450;RRP;SYD5G54;Descarga Inocencia;Terminal;07/08/2025 08:43;07/08/2025 13:25;Saiu da cerca;4.69;07/08/2025 14:25;585061;171260
39450;RRP;SYD5G56;Descarga Inocencia;Terminal;07/08/2025 07:21;07/08/2025 10:27;Saiu da cerca;3.09;07/08/2025 11:32;595769;171260
39450;RRP;SYD5G56;Agua Clara;Parada Operacional;07/08/2025 13:27;;Entrou na cerca;0.0;07/08/2025 14:43;595769;171261
39450;RRP;SYD5G57;Descarga Inocencia;Terminal;07/08/2025 08:51;07/08/2025 14:12;Saiu da cerca;5.36;07/08/2025 15:13;595761;171260
16622;TLS;SYD5G60;SELVIRIA;Parada Operacional;07/08/2025 09:14;07/08/2025 13:45;Saiu da cerca;4.51;07/08/2025 15:06;584818;51127
16622;TLS;SYD5G60;Terminal;Terminal;07/08/2025 10:15;07/08/2025 12:54;Saiu da cerca;2.64;07/08/2025 15:06;584818;115514
39450;RRP;SYD5G61;Descarga Inocencia;Terminal;07/08/2025 11:27;;Entrou na cerca;0.0;07/08/2025 12:33;595762;171260
